active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 26 Embedded Strings ""Dataset Name"" new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""}; String"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 26 Embedded Strings ""Type"" new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""}; String"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 121 Embedded Strings ""unknown"" return ""unknown""; String"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java 28 Embedded Strings ""Imagery"" public static final String IMAGERY = ""Imagery""; String"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java 29 Embedded Strings ""Elevation"" public static final String ELEVATION = ""Elevation""; String"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java 160 Embedded Strings ""Sector"" Sector sector = WWXML.getSector(domElement, ""Sector"", null); String"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java 168 Embedded Strings ""Layer"" if (type.equalsIgnoreCase(""Layer"")) String"
T,"src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java 66 Embedded Strings ""Filter by Visibility"" final JCheckBox cb = new JCheckBox(""Filter by Visibility""); Method: JCheckBox"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java 238 Embedded Strings ""\nThis operation cannot be undone."" String msg = ""Delete "" + dataSet.getName() + ""?"" + ""\nThis operation cannot be undone.""; String"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java 238 Embedded Strings ""Delete "" String msg = ""Delete "" + dataSet.getName() + ""?"" + ""\nThis operation cannot be undone.""; String"
T,"src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java 239 Embedded Strings ""Verify Data Deletion"" int status = JOptionPane.showConfirmDialog(this, msg, ""Verify Data Deletion"", Method: showConfirmDialog"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreTableModel.java 22 Embedded Strings ""Size (MB)"" new String[]{""Key"", ""Dataset"", ""Type"", ""Size (MB)""}; String"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreTableModel.java 22 Embedded Strings ""Type"" new String[]{""Key"", ""Dataset"", ""Type"", ""Size (MB)""}; String"
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreTableModel.java 22 Embedded Strings ""Key"" new String[]{""Key"", ""Dataset"", ""Type"", ""Size (MB)""}; String"
