active,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java 328 Embedded Strings "" Elevations"" sb.append(fileSet.isImagery() ? "" Imagery"" : fileSet.isElevation() ? "" Elevations"" : """"); String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java,328,12358,1,""" Elevations""","sb.append(fileSet.isImagery() ? "" Imagery"" : fileSet.isElevation() ? "" Elevations"" : """");",0,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java 328 Embedded Strings "" Imagery"" sb.append(fileSet.isImagery() ? "" Imagery"" : fileSet.isElevation() ? "" Elevations"" : """"); String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java,328,12321,1,""" Imagery""","sb.append(fileSet.isImagery() ? "" Imagery"" : fileSet.isElevation() ? "" Elevations"" : """");",0,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java 333 Embedded Strings ""change me"" return (WWUtil.isEmpty(name)) ? ""change me"" : name; String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java,333,12502,1,"""change me""","return (WWUtil.isEmpty(name)) ? ""change me"" : name;",2,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java 407 Embedded Strings ""Layer"" if (type.equalsIgnoreCase(""Layer"")) String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java,407,14843,1,"""Layer""","if (type.equalsIgnoreCase(""Layer""))",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java 425 Embedded Strings ""Sector"" Sector sector = WWXML.getSector(domElement, ""Sector"", null); String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstaller.java,425,15541,1,"""Sector""","Sector sector = WWXML.getSector(domElement, ""Sector"", null);",1,String
T,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerApp.java 128 Embedded Strings ""World Wind Application"" System.setProperty(""com.apple.mrj.application.apple.menu.about.name"", ""World Wind Application""); String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerApp.java,128,4937,1,"""World Wind Application""","System.setProperty(""com.apple.mrj.application.apple.menu.about.name"", ""World Wind Application"");",1,String
T,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerApp.java 168 Embedded Strings ""Data Installer"" start(""Data Installer"", AppFrame.class); String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerApp.java,168,6218,1,"""Data Installer""","start(""Data Installer"", AppFrame.class);",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerPanel.java 43 Embedded Strings ""Available Data"" tabbedPane.add(""Available Data"", this.fileSetPanel); String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerPanel.java,43,1334,1,"""Available Data""","tabbedPane.add(""Available Data"", this.fileSetPanel);",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerPanel.java 44 Embedded Strings ""Installed Data"" tabbedPane.add(""Installed Data"", this.fileStorePanel); String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerPanel.java,44,1396,1,"""Installed Data""","tabbedPane.add(""Installed Data"", this.fileStorePanel);",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerProgressMonitor.java 32 Embedded Strings ""Importing ...."" super(parent, ""Importing ...."", null, 0, 100); String",src/gov/nasa/worldwindx/applications/dataimporter/DataInstallerProgressMonitor.java,32,1012,1,"""Importing ....""","super(parent, ""Importing ...."", null, 0, 100);",2,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetFilter.java 30 Embedded Strings ""Imagery and Elevations"" return ""Imagery and Elevations""; String",src/gov/nasa/worldwindx/applications/dataimporter/FileSetFilter.java,30,860,1,"""Imagery and Elevations""","return ""Imagery and Elevations"";",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 26 Embedded Strings ""Files"" new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""}; String",src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java,26,768,1,"""Files""","new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""};",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 26 Embedded Strings ""Type"" new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""}; String",src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java,26,760,1,"""Type""","new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""};",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 26 Embedded Strings ""Scale"" new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""}; String",src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java,26,751,1,"""Scale""","new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""};",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 26 Embedded Strings ""Dataset Name"" new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""}; String",src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java,26,735,1,"""Dataset Name""","new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""};",4,String
